date_played,num_players,num_teams,num_hands,high_score,points_to_play_to,game_id
2017-10-06 16:16:35.777000,2,0,6,13,11,59d7ac63eff10800101d924b
2017-10-06 16:20:22.031000,2,0,7,12,11,59d7ad46eff10800101d925e
2017-10-06 16:34:22.226000,2,0,6,11,11,59d7b08eeff10800101d9274
2017-10-06 16:38:56.165000,0,0,1,0,11,59d7b1a0eff10800101d9287
2017-10-06 16:40:02.118000,2,0,6,13,11,59d7b1e2eff10800101d928b
2017-10-06 16:46:30.123000,2,0,5,11,11,59d7b366eff10800101d929e
2017-10-06 16:49:49.915000,2,0,7,11,11,59d7b42deff10800101d92b0
2017-10-06 17:26:39.277000,2,0,4,11,11,59d7bccfeff10800101d92c6
2017-10-06 17:28:27.070000,2,0,5,11,11,59d7bd3beff10800101d92d3
2017-10-06 17:31:06.771000,0,0,2,0,11,59d7bddaeff10800101d92e3
2017-10-06 17:32:04.601000,2,0,5,11,11,59d7be14eff10800101d92ea
2017-10-06 17:34:14.252000,2,0,5,12,11,59d7be96eff10800101d92fa
2017-10-06 17:37:22.309000,2,0,6,11,11,59d7bf52eff10800101d930a
2017-10-06 17:41:41.804000,2,0,6,13,11,59d7c055eff10800101d931d
2017-10-06 17:45:58.465000,2,0,7,12,11,59d7c156eff10800101d9330
2017-10-06 17:55:34.184000,2,0,6,11,11,59d7c396eff10800101d9348
2017-10-06 17:58:11.239000,2,0,5,11,11,59d7c433eff10800101d935b
2017-10-06 18:00:32.112000,2,0,7,11,11,59d7c4c0eff10800101d936d
2017-10-06 18:04:11.676000,2,0,5,11,11,59d7c59beff10800101d9385
2017-10-06 18:07:52.317000,2,0,5,12,11,59d7c678eff10800101d9395
2017-10-06 18:14:45.029000,2,0,6,11,11,59d7c815eff10800101d93a5
2017-10-06 18:18:34.655000,2,0,7,11,11,59d7c8faeff10800101d93b8
2017-10-06 18:21:50.838000,0,0,4,0,11,59d7c9beeff10800101d93ce
2017-10-06 18:23:25.234000,0,0,4,0,11,59d7ca1deff10800101d93db
2017-10-06 18:24:57.433000,2,0,5,13,11,59d7ca79eff10800101d93e8
2017-10-06 18:27:59.072000,0,0,2,0,11,59d7cb2feff10800101d93f8
2017-10-06 18:28:54.500000,0,0,4,0,11,59d7cb66eff10800101d93ff
2017-10-06 18:30:30.938000,2,0,5,11,11,59d7cbc6eff10800101d940c
2017-10-06 18:35:13.865000,0,0,0,0,11,59d7cce1eff10800101d941e
2017-10-06 19:11:36.920000,0,0,3,0,11,59d7d56832e6c000107371db
2017-10-06 19:13:20.187000,0,0,5,0,11,59d7d5d032e6c000107371e8
2017-10-06 19:15:18.383000,0,0,1,0,11,59d7d64632e6c000107371fb
2017-10-06 19:15:50.492000,2,0,10,11,11,59d7d66632e6c00010737202
2017-10-06 19:21:26.026000,0,0,2,0,11,59d7d7b632e6c00010737223
2017-10-06 19:22:34.457000,0,0,1,0,11,59d7d7fa32e6c0001073722d
2017-10-06 20:15:54.524000,0,0,0,0,11,59d7e47afee92c00115fdfe2
2017-10-09 14:42:24.043000,2,0,6,11,11,59db8ad007e43c00105fb10b
2017-10-09 15:44:12.674000,2,0,6,13,11,59db994ced3a2b00100e7897
2017-10-09 15:51:18.037000,2,0,7,11,11,59db9af6ed3a2b00100e78aa
2017-10-09 16:04:42.388000,0,0,0,0,11,59db9e1aed3a2b00100e78c0
2017-10-09 16:05:03.402000,0,0,3,0,11,59db9e2fed3a2b00100e78c4
2017-10-09 16:06:16.707000,0,0,0,0,11,59db9e78ed3a2b00100e78ce
2017-10-09 16:45:11.434000,0,0,5,0,11,59dba797026342001127c03c
2017-10-09 17:27:11.927000,0,0,1,0,11,59dbb16f65041d001155c677
2017-10-09 17:29:27.519000,0,0,0,0,11,59dbb1f765041d001155c67b
2017-10-09 17:29:41.185000,0,0,5,0,11,59dbb20565041d001155c67c
2017-10-09 23:51:02.386000,0,2,0,0,11,59dc0b66e821000010295678
2017-10-10 15:58:04.151000,0,0,2,0,11,59dcee0c0e56860011dccb7d
2017-10-10 15:58:53.451000,0,0,3,0,11,59dcee3d0e56860011dccb84
2017-10-10 16:00:08.047000,0,0,5,0,11,59dcee880e56860011dccb8e
2017-10-10 17:16:38.899000,4,2,5,11,11,59dd007663ccbc0010f79804
2017-10-10 17:25:33.248000,4,2,9,11,11,59dd028d63ccbc0010f7981e
2017-10-10 17:34:59.501000,0,2,5,0,11,59dd04c363ccbc0010f7984c
2017-10-10 18:19:05.999000,0,0,0,0,11,59dd0f19fe96af00104fe517
2017-10-10 18:19:15.479000,0,0,2,0,11,59dd0f23fe96af00104fe518
2017-10-10 18:20:13.169000,0,0,0,0,11,59dd0f5dfe96af00104fe51f
2017-10-10 18:20:30.857000,0,0,3,0,11,59dd0f6efe96af00104fe523
2017-10-10 18:21:49.061000,0,0,4,0,11,59dd0fbdfe96af00104fe52d
2017-10-10 18:23:27.677000,0,0,3,0,11,59dd101ffe96af00104fe53a
2017-10-10 18:24:21.439000,0,0,0,0,11,59dd1055fe96af00104fe544
2017-10-10 18:24:30.764000,2,0,6,11,11,59dd105efe96af00104fe545
2017-10-10 18:26:47.015000,2,0,4,11,11,59dd10e7fe96af00104fe558
2017-10-10 19:06:20.104000,0,0,4,0,11,59dd1a2ca530050011db5e39
2017-10-10 19:08:12.677000,2,0,6,11,11,59dd1a9ca530050011db5e46
2017-10-10 19:11:08.976000,2,0,6,11,11,59dd1b4ca530050011db5e59
2017-10-10 19:16:27.216000,0,0,3,0,11,59dd1c8ba530050011db5e6c
2017-10-10 19:17:32.480000,0,0,0,0,15,59dd1ccca530050011db5e76
2017-10-10 19:17:40.576000,0,0,4,0,15,59dd1cd4a530050011db5e77
2017-10-10 19:19:20.436000,2,0,6,15,15,59dd1d38a530050011db5e84
2017-10-10 19:21:58.144000,0,0,7,0,15,59dd1dd6a530050011db5e97
2017-10-10 19:40:06.581000,0,0,0,0,11,59dd2216a530050011db5ead
2017-10-10 20:03:06.484000,0,0,2,0,11,59dd277aa530050011db5eaf
2017-10-10 21:56:58.308000,4,2,3,11,11,59dd422a444fea00115c8cb0
2017-10-10 22:00:29.234000,4,2,6,13,11,59dd42fd444fea00115c8cc0
2017-10-10 22:07:38.113000,0,2,4,0,11,59dd44aa444fea00115c8cdf
2017-10-11 03:15:48.340000,0,0,1,0,11,59dd8ce418dbf60010d4ed8c
2017-10-11 06:59:19.364000,4,2,6,11,11,59ddc14765ba850010fe2398
2017-10-11 07:07:28.089000,4,2,5,12,11,59ddc33065ba850010fe23b7
2017-10-11 15:12:01.067000,0,0,3,0,15,59de34c1dd21c8001085cc53
2017-10-11 15:13:01.532000,0,0,3,0,11,59de34fddd21c8001085cc5d
2017-10-11 15:21:54.935000,2,0,6,12,11,59de3712dd21c8001085cc6a
2017-10-11 15:24:26.408000,2,0,7,14,11,59de37aadd21c8001085cc7d
2017-10-11 15:27:07.978000,2,0,6,11,11,59de384bdd21c8001085cc93
2017-10-11 15:29:29.499000,0,0,1,0,11,59de38d9dd21c8001085cca6
2017-10-11 15:30:08.427000,0,0,2,0,11,59de3900dd21c8001085ccaa
2017-10-11 15:31:02.523000,0,0,7,0,11,59de3936dd21c8001085ccb1
2017-10-11 15:44:20.478000,2,0,5,11,11,59de3c54dd21c8001085ccca
2017-10-11 16:17:38.503000,2,0,6,11,11,59de4422074c56001057e7cf
2017-10-11 16:26:42.867000,0,0,2,0,11,59de4642074c56001057e7e2
2017-10-11 16:27:30.596000,0,0,1,0,11,59de4672074c56001057e7e9
2017-10-11 16:41:36.032000,0,0,2,0,11,59de49c0074c56001057e7f0
2017-10-11 16:42:48.840000,0,0,4,0,11,59de4a08074c56001057e7fa
2017-10-11 16:44:09.427000,2,0,5,14,11,59de4a59074c56001057e807
2017-10-11 16:46:14.935000,0,0,4,0,11,59de4ad6074c56001057e817
2017-10-11 17:27:31.649000,2,0,6,12,11,59de5483198a9c0010e2284b
2017-10-11 17:41:19.704000,0,0,5,0,11,59de57bf198a9c0010e2285e
2017-10-11 17:43:16.519000,0,0,4,0,11,59de5834198a9c0010e2286e
2017-10-11 17:44:57.859000,2,0,5,11,11,59de5899198a9c0010e2287b
2017-10-11 17:46:53.496000,0,0,3,0,11,59de590d198a9c0010e2288b
2017-10-11 17:48:10.512000,0,0,3,0,11,59de595a198a9c0010e22895
2017-10-11 17:49:30.380000,0,0,6,0,11,59de59aa198a9c0010e228a2
2017-10-11 17:51:45.287000,0,0,0,0,11,59de5a31198a9c0010e228b5
2017-10-11 17:51:52.494000,0,0,4,0,11,59de5a38198a9c0010e228b6
2017-10-11 17:53:20.360000,0,0,4,0,11,59de5a90198a9c0010e228c3
2017-10-11 18:09:00.036000,0,0,0,0,11,59de5e3c198a9c0010e228d0
2017-10-11 18:10:05.018000,0,0,1,0,11,59de5e7d198a9c0010e228d1
2017-10-11 18:11:30.838000,2,0,6,11,11,59de5ed2198a9c0010e228d8
2017-10-11 18:13:59.886000,0,0,3,0,11,59de5f67198a9c0010e228eb
2017-10-11 18:22:14.681000,0,0,5,0,11,59de6156198a9c0010e228f5
2017-10-11 19:43:40.699000,0,0,0,0,11,59de746c0126510011ef8e14
2017-10-11 19:50:40.307000,2,0,6,14,11,59de76100126510011ef8e18
2017-10-11 19:53:56.460000,2,0,5,11,11,59de76d40126510011ef8e2b
2017-10-11 20:32:26.276000,0,0,0,0,11,59de7fdab8086600101542ac
2017-10-11 20:32:40.986000,0,0,0,0,11,59de7fe8b8086600101542ad
2017-10-11 20:33:21.887000,0,0,0,0,11,59de8011b8086600101542b1
2017-10-11 20:34:35.408000,0,0,1,0,11,59de805bb8086600101542b2
2017-10-11 22:03:15.773000,0,2,2,0,11,59de95234b316100111683ba
2017-10-11 22:09:40.212000,0,2,0,0,11,59de96a44b316100111683ca
2017-10-11 22:10:19.327000,0,2,0,0,11,59de96cb4b316100111683cf
2017-10-12 04:40:25.200000,0,2,0,0,11,59def239c5e69c0010494828
2017-10-12 04:49:42.071000,0,2,2,0,11,59def466c5e69c001049482e
2017-10-12 15:33:00.524000,0,0,4,0,11,59df8b2c7862bc001007d9fe
2017-10-12 15:34:40.098000,0,0,2,0,11,59df8b907862bc001007da0b
2017-10-12 15:38:04.792000,2,0,6,12,11,59df8c5c7862bc001007da15
2017-10-12 15:40:42.775000,0,0,0,0,11,59df8cfa7862bc001007da28
2017-10-12 16:27:11.973000,0,0,2,0,11,59df97df7862bc001007da29
2017-10-12 16:28:00.257000,2,0,7,12,11,59df98107862bc001007da30
2017-10-12 16:32:16.731000,2,0,5,12,11,59df99107862bc001007da46
2017-10-12 16:41:48.562000,0,0,3,0,11,59df9b4c7862bc001007da56
2017-10-12 18:46:12.066000,2,0,5,12,11,59dfb8745f7a4800109be025
2017-10-12 18:48:07.042000,2,0,7,11,11,59dfb8e75f7a4800109be035
2017-10-12 20:13:28.311000,2,0,4,11,11,59dfcce838ae9000115917df
2017-10-12 20:14:55.316000,2,0,5,12,11,59dfcd3f38ae9000115917ec
2017-10-12 20:48:57.868000,0,2,1,0,11,59dfd53938ae9000115917fc
2017-10-12 20:52:13.788000,0,2,0,0,15,59dfd5fd38ae900011591807
2017-10-12 20:53:06.371000,0,2,3,0,15,59dfd63238ae90001159180d
2017-10-12 20:58:27.524000,4,2,6,12,11,59dfd77338ae900011591822
2017-10-12 21:04:55.298000,4,2,8,15,15,59dfd8f738ae900011591841
2017-10-12 21:14:09.356000,4,2,4,15,15,59dfdb2138ae90001159186a
2017-10-12 21:18:17.062000,0,2,2,0,15,59dfdc1938ae90001159187f
